"","TIME_PERIOD","Cna_produit","OBS_VALUE"
"1",2025-10-01,"Biens",-0.0136092703365952
"2",2025-10-01,"Biens manufacturés",-0.00808407115469098
"3",2025-10-01,"Biens industriels",-0.0138229520729119
"4",2025-07-01,"Biens",-0.0227293375731502
"5",2025-07-01,"Biens manufacturés",-0.0143173983913636
"6",2025-07-01,"Biens industriels",-0.0229284130080432
"7",2025-04-01,"Biens",-0.0305568920461514
"8",2025-04-01,"Biens manufacturés",-0.0200823996991885
"9",2025-04-01,"Biens industriels",-0.0304558129254589
"10",2025-01-01,"Biens",-0.0280610139682754
"11",2025-01-01,"Biens manufacturés",-0.0165982345182129
"12",2025-01-01,"Biens industriels",-0.0274819900564819
"13",2024-10-01,"Biens",-0.0217423220810858
"14",2024-10-01,"Biens manufacturés",-0.0127879219592831
"15",2024-10-01,"Biens industriels",-0.0214527688359144
"16",2024-07-01,"Biens",-0.0285028107297024
"17",2024-07-01,"Biens manufacturés",-0.0172218356185236
"18",2024-07-01,"Biens industriels",-0.027998564733769
"19",2024-04-01,"Biens",-0.0269328980096073
"20",2024-04-01,"Biens manufacturés",-0.011598215319792
"21",2024-04-01,"Biens industriels",-0.027634692065453
"22",2024-01-01,"Biens",-0.025465032842082
"23",2024-01-01,"Biens manufacturés",-0.0150190428878953
"24",2024-01-01,"Biens industriels",-0.0266890213611525
"25",2023-10-01,"Biens",-0.0274811553432266
"26",2023-10-01,"Biens manufacturés",-0.0138883109028512
"27",2023-10-01,"Biens industriels",-0.0279444689510524
"28",2023-07-01,"Biens",-0.0345198840716597
"29",2023-07-01,"Biens manufacturés",-0.0181861881108797
"30",2023-07-01,"Biens industriels",-0.0352001619173715
"31",2023-04-01,"Biens",-0.0329629587701225
"32",2023-04-01,"Biens manufacturés",-0.0178371295310979
"33",2023-04-01,"Biens industriels",-0.033132768809292
"34",2023-01-01,"Biens",-0.0460454450095129
"35",2023-01-01,"Biens manufacturés",-0.0289048201225467
"36",2023-01-01,"Biens industriels",-0.0462537888926667
"37",2022-10-01,"Biens",-0.0552931480042253
"38",2022-10-01,"Biens manufacturés",-0.0373444714932353
"39",2022-10-01,"Biens industriels",-0.0572544710084139
"40",2022-07-01,"Biens",-0.0699855095026526
"41",2022-07-01,"Biens manufacturés",-0.0365450941882328
"42",2022-07-01,"Biens industriels",-0.0729913895309151
"43",2022-04-01,"Biens",-0.0618837078334445
"44",2022-04-01,"Biens manufacturés",-0.0340888452739424
"45",2022-04-01,"Biens industriels",-0.0635228294229956
"46",2022-01-01,"Biens",-0.0492390207063429
"47",2022-01-01,"Biens manufacturés",-0.028814721770558
"48",2022-01-01,"Biens industriels",-0.0500574105897493
"49",2021-10-01,"Biens",-0.0439663251207947
"50",2021-10-01,"Biens manufacturés",-0.0319995275446152
"51",2021-10-01,"Biens industriels",-0.044981171720437
"52",2021-07-01,"Biens",-0.0317877572799535
"53",2021-07-01,"Biens manufacturés",-0.0241684256781676
"54",2021-07-01,"Biens industriels",-0.0319588195136497
"55",2021-04-01,"Biens",-0.0301823024678557
"56",2021-04-01,"Biens manufacturés",-0.0212972444006636
"57",2021-04-01,"Biens industriels",-0.0300251451679801
"58",2021-01-01,"Biens",-0.0295311941461454
"59",2021-01-01,"Biens manufacturés",-0.022075502468483
"60",2021-01-01,"Biens industriels",-0.0296333269088531
"61",2020-10-01,"Biens",-0.0212807373639903
"62",2020-10-01,"Biens manufacturés",-0.0168552224403554
"63",2020-10-01,"Biens industriels",-0.0212873922736499
"64",2020-07-01,"Biens",-0.0340828632692301
"65",2020-07-01,"Biens manufacturés",-0.028708864497381
"66",2020-07-01,"Biens industriels",-0.034042596028979
"67",2020-04-01,"Biens",-0.0367858911448251
"68",2020-04-01,"Biens manufacturés",-0.0324528429298159
"69",2020-04-01,"Biens industriels",-0.03775566860247
"70",2020-01-01,"Biens",-0.0213755644085782
"71",2020-01-01,"Biens manufacturés",-0.0158826404868519
"72",2020-01-01,"Biens industriels",-0.0221845997148789
"73",2019-10-01,"Biens",-0.0220431067382328
"74",2019-10-01,"Biens manufacturés",-0.0135029998476736
"75",2019-10-01,"Biens industriels",-0.0225737923217658
"76",2019-07-01,"Biens",-0.0243061574944803
"77",2019-07-01,"Biens manufacturés",-0.0146307956496852
"78",2019-07-01,"Biens industriels",-0.0248098781584758
"79",2019-04-01,"Biens",-0.0221348973029403
"80",2019-04-01,"Biens manufacturés",-0.0102459050029628
"81",2019-04-01,"Biens industriels",-0.0228784722735174
"82",2019-01-01,"Biens",-0.0212580712972174
"83",2019-01-01,"Biens manufacturés",-0.00942154806694397
"84",2019-01-01,"Biens industriels",-0.021948300661925
"85",2018-10-01,"Biens",-0.0209033627512689
"86",2018-10-01,"Biens manufacturés",-0.00951507278595439
"87",2018-10-01,"Biens industriels",-0.0215177244177793
"88",2018-07-01,"Biens",-0.0238348890692641
"89",2018-07-01,"Biens manufacturés",-0.0113873106060606
"90",2018-07-01,"Biens industriels",-0.0244825487012987
"91",2018-04-01,"Biens",-0.0281028164321775
"92",2018-04-01,"Biens manufacturés",-0.0174760598993704
"93",2018-04-01,"Biens industriels",-0.028763998872402
"94",2018-01-01,"Biens",-0.0257128200377105
"95",2018-01-01,"Biens manufacturés",-0.013552116199231
"96",2018-01-01,"Biens industriels",-0.0259204167031248
"97",2017-10-01,"Biens",-0.0232307875085445
"98",2017-10-01,"Biens manufacturés",-0.0118977721378626
"99",2017-10-01,"Biens industriels",-0.0236560769033422
"100",2017-07-01,"Biens",-0.0250070751809597
"101",2017-07-01,"Biens manufacturés",-0.0155688705927699
"102",2017-07-01,"Biens industriels",-0.0254706514548829
"103",2017-04-01,"Biens",-0.0210754809718964
"104",2017-04-01,"Biens manufacturés",-0.00920051704806833
"105",2017-04-01,"Biens industriels",-0.0208445934718309
"106",2017-01-01,"Biens",-0.0281703828436838
"107",2017-01-01,"Biens manufacturés",-0.0149395086836446
"108",2017-01-01,"Biens industriels",-0.0276279311386715
"109",2016-10-01,"Biens",-0.0207694598870298
"110",2016-10-01,"Biens manufacturés",-0.00858423447284453
"111",2016-10-01,"Biens industriels",-0.0202468792303618
"112",2016-07-01,"Biens",-0.0207600654182622
"113",2016-07-01,"Biens manufacturés",-0.0099042961702311
"114",2016-07-01,"Biens industriels",-0.0205769517315912
"115",2016-04-01,"Biens",-0.0152287919403883
"116",2016-04-01,"Biens manufacturés",-0.00911675167113443
"117",2016-04-01,"Biens industriels",-0.016319777626152
"118",2016-01-01,"Biens",-0.0189619881205028
"119",2016-01-01,"Biens manufacturés",-0.0118525880333171
"120",2016-01-01,"Biens industriels",-0.0200867910109054
"121",2015-10-01,"Biens",-0.0183896772611641
"122",2015-10-01,"Biens manufacturés",-0.010108913765034
"123",2015-10-01,"Biens industriels",-0.0194876491682277
"124",2015-07-01,"Biens",-0.0179131602717384
"125",2015-07-01,"Biens manufacturés",-0.00852938674216163
"126",2015-07-01,"Biens industriels",-0.0193685140367423
"127",2015-04-01,"Biens",-0.0161207736950956
"128",2015-04-01,"Biens manufacturés",-0.00474676336336884
"129",2015-04-01,"Biens industriels",-0.0177188203245292
"130",2015-01-01,"Biens",-0.0195222569455238
"131",2015-01-01,"Biens manufacturés",-0.00786851551485473
"132",2015-01-01,"Biens industriels",-0.0209814889652436
"133",2014-10-01,"Biens",-0.0214075061832226
"134",2014-10-01,"Biens manufacturés",-0.00918123251314569
"135",2014-10-01,"Biens industriels",-0.022947548197782
"136",2014-07-01,"Biens",-0.0284777244397197
"137",2014-07-01,"Biens manufacturés",-0.0143329882047222
"138",2014-07-01,"Biens industriels",-0.0299966594503412
"139",2014-04-01,"Biens",-0.0267960977170938
"140",2014-04-01,"Biens manufacturés",-0.0108200339021527
"141",2014-04-01,"Biens industriels",-0.0280669632639846
"142",2014-01-01,"Biens",-0.0268149178189213
"143",2014-01-01,"Biens manufacturés",-0.00968529338103088
"144",2014-01-01,"Biens industriels",-0.0284895652271427
"145",2013-10-01,"Biens",-0.0287895159414417
"146",2013-10-01,"Biens manufacturés",-0.0122890544687812
"147",2013-10-01,"Biens industriels",-0.0307442090808815
"148",2013-07-01,"Biens",-0.029716329565006
"149",2013-07-01,"Biens manufacturés",-0.00990104607359639
"150",2013-07-01,"Biens industriels",-0.0316158831322281
"151",2013-04-01,"Biens",-0.0240267531399451
"152",2013-04-01,"Biens manufacturés",-0.00412150071445605
"153",2013-04-01,"Biens industriels",-0.0263513170964356
"154",2013-01-01,"Biens",-0.0272765063294023
"155",2013-01-01,"Biens manufacturés",-0.0073363741797592
"156",2013-01-01,"Biens industriels",-0.0304198531965902
"157",2012-10-01,"Biens",-0.029545497965344
"158",2012-10-01,"Biens manufacturés",-0.0097033032115087
"159",2012-10-01,"Biens industriels",-0.0325334810767438
"160",2012-07-01,"Biens",-0.0306870202765804
"161",2012-07-01,"Biens manufacturés",-0.0096636994398492
"162",2012-07-01,"Biens industriels",-0.0325395476395555
"163",2012-04-01,"Biens",-0.0341436519280127
"164",2012-04-01,"Biens manufacturés",-0.0135859959733813
"165",2012-04-01,"Biens industriels",-0.0355671845943412
"166",2012-01-01,"Biens",-0.0361032608591239
"167",2012-01-01,"Biens manufacturés",-0.0142995195069423
"168",2012-01-01,"Biens industriels",-0.0375883513574265
"169",2011-10-01,"Biens",-0.031850984681028
"170",2011-10-01,"Biens manufacturés",-0.0109115905082448
"171",2011-10-01,"Biens industriels",-0.034140358443919
"172",2011-07-01,"Biens",-0.0366077787891079
"173",2011-07-01,"Biens manufacturés",-0.0173597296966851
"174",2011-07-01,"Biens industriels",-0.0388823012267284
"175",2011-04-01,"Biens",-0.0353726925773035
"176",2011-04-01,"Biens manufacturés",-0.0173416932782927
"177",2011-04-01,"Biens industriels",-0.038030609860581
"178",2011-01-01,"Biens",-0.0412387820450317
"179",2011-01-01,"Biens manufacturés",-0.0204994598220728
"180",2011-01-01,"Biens industriels",-0.0435555018194441
"181",2010-10-01,"Biens",-0.0292343258334278
"182",2010-10-01,"Biens manufacturés",-0.0141251866031371
"183",2010-10-01,"Biens industriels",-0.0310273061762408
"184",2010-07-01,"Biens",-0.0305633929194541
"185",2010-07-01,"Biens manufacturés",-0.013527013150155
"186",2010-07-01,"Biens industriels",-0.0320070187332383
"187",2010-04-01,"Biens",-0.0264831105280525
"188",2010-04-01,"Biens manufacturés",-0.00851717116435545
"189",2010-04-01,"Biens industriels",-0.0275978076282304
"190",2010-01-01,"Biens",-0.0229388453186921
"191",2010-01-01,"Biens manufacturés",-0.00637201432433695
"192",2010-01-01,"Biens industriels",-0.0238000930310029
"193",2009-10-01,"Biens",-0.0281923273657289
"194",2009-10-01,"Biens manufacturés",-0.0122271099744246
"195",2009-10-01,"Biens industriels",-0.0287529411764706
"196",2009-07-01,"Biens",-0.0176749651900633
"197",2009-07-01,"Biens manufacturés",-0.00254893563316844
"198",2009-07-01,"Biens industriels",-0.0188646064149593
"199",2009-04-01,"Biens",-0.0195143374447405
"200",2009-04-01,"Biens manufacturés",-0.00380757454601199
"201",2009-04-01,"Biens industriels",-0.0204651952883854
"202",2009-01-01,"Biens",-0.0251383959961089
"203",2009-01-01,"Biens manufacturés",-0.0103913666617579
"204",2009-01-01,"Biens industriels",-0.0260904194088329
"205",2008-10-01,"Biens",-0.0295049151172847
"206",2008-10-01,"Biens manufacturés",-0.00831773462021025
"207",2008-10-01,"Biens industriels",-0.0312366768041384
"208",2008-07-01,"Biens",-0.0329131919832452
"209",2008-07-01,"Biens manufacturés",-0.00685532532675243
"210",2008-07-01,"Biens industriels",-0.0348308357111446
"211",2008-04-01,"Biens",-0.0284951826853149
"212",2008-04-01,"Biens manufacturés",-0.00530916361640191
"213",2008-04-01,"Biens industriels",-0.0306008170101595
"214",2008-01-01,"Biens",-0.0235035932184384
"215",2008-01-01,"Biens manufacturés",-0.00147773486072649
"216",2008-01-01,"Biens industriels",-0.0249092434518124
"217",2007-10-01,"Biens",-0.027869945675157
"218",2007-10-01,"Biens manufacturés",-0.00655069776519957
"219",2007-10-01,"Biens industriels",-0.0285896685208679
"220",2007-07-01,"Biens",-0.0253877313152289
"221",2007-07-01,"Biens manufacturés",-0.0079926619360505
"222",2007-07-01,"Biens industriels",-0.0265717533786695
"223",2007-04-01,"Biens",-0.0228697462023547
"224",2007-04-01,"Biens manufacturés",-0.0049765462396322
"225",2007-04-01,"Biens industriels",-0.0239052323113085
"226",2007-01-01,"Biens",-0.0186840886661317
"227",2007-01-01,"Biens manufacturés",-0.00340282157606794
"228",2007-01-01,"Biens industriels",-0.0202576841117148
"229",2006-10-01,"Biens",-0.017878071763282
"230",2006-10-01,"Biens manufacturés",-0.000374365333770093
"231",2006-10-01,"Biens industriels",-0.0191840962799572
"232",2006-07-01,"Biens",-0.0195503736843578
"233",2006-07-01,"Biens manufacturés",-0.000873687585674106
"234",2006-07-01,"Biens industriels",-0.0202067153435464
"235",2006-04-01,"Biens",-0.0166898288890819
"236",2006-04-01,"Biens manufacturés",0.00265786502214888
"237",2006-04-01,"Biens industriels",-0.0176582993138192
"238",2006-01-01,"Biens",-0.0175340578093911
"239",2006-01-01,"Biens manufacturés",0.00383585118575722
"240",2006-01-01,"Biens industriels",-0.0186073011463387
"241",2005-10-01,"Biens",-0.0180994260612052
"242",2005-10-01,"Biens manufacturés",-0.000183409903240093
"243",2005-10-01,"Biens industriels",-0.0191819918315492
"244",2005-07-01,"Biens",-0.0149759250932606
"245",2005-07-01,"Biens manufacturés",0.00186182291443071
"246",2005-07-01,"Biens industriels",-0.0157803048960972
"247",2005-04-01,"Biens",-0.012942459913595
"248",2005-04-01,"Biens manufacturés",0.00138366995011927
"249",2005-04-01,"Biens industriels",-0.0137406430749034
"250",2005-01-01,"Biens",-0.013767561135351
"251",2005-01-01,"Biens manufacturés",0.000814061822576033
"252",2005-01-01,"Biens industriels",-0.0148537456068335
"253",2004-10-01,"Biens",-0.00842585572553525
"254",2004-10-01,"Biens manufacturés",0.00560018233151777
"255",2004-10-01,"Biens industriels",-0.00960496388254501
"256",2004-07-01,"Biens",-0.00836538847052775
"257",2004-07-01,"Biens manufacturés",0.00419566565804028
"258",2004-07-01,"Biens industriels",-0.00970262423674969
"259",2004-04-01,"Biens",-0.00332965748020268
"260",2004-04-01,"Biens manufacturés",0.00898603492694242
"261",2004-04-01,"Biens industriels",-0.00422327005162039
"262",2004-01-01,"Biens",0.000377815081038944
"263",2004-01-01,"Biens manufacturés",0.0120566053075845
