"","TIME_PERIOD","Cna_produit","OBS_VALUE"
"1",2025-01-01,"Biens",-0.0282883270255543
"2",2025-01-01,"Biens manufacturés",-0.0166571340102195
"3",2025-01-01,"Biens industriels",-0.0277542278345455
"4",2024-10-01,"Biens",-0.0204014223498132
"5",2024-10-01,"Biens manufacturés",-0.011566107187325
"6",2024-10-01,"Biens industriels",-0.0201091773098232
"7",2024-07-01,"Biens",-0.0276567840664306
"8",2024-07-01,"Biens manufacturés",-0.0163603128546286
"9",2024-07-01,"Biens industriels",-0.0271770373944184
"10",2024-04-01,"Biens",-0.0286820465147072
"11",2024-04-01,"Biens manufacturés",-0.0130024358015939
"12",2024-04-01,"Biens industriels",-0.0294158214002963
"13",2024-01-01,"Biens",-0.0258795315052766
"14",2024-01-01,"Biens manufacturés",-0.0156670861482757
"15",2024-01-01,"Biens industriels",-0.027042765046143
"16",2023-10-01,"Biens",-0.0267020326173208
"17",2023-10-01,"Biens manufacturés",-0.0132344862411285
"18",2023-10-01,"Biens industriels",-0.0271473439468179
"19",2023-07-01,"Biens",-0.0336745950883603
"20",2023-07-01,"Biens manufacturés",-0.0173909988406001
"21",2023-07-01,"Biens industriels",-0.0343941257070583
"22",2023-04-01,"Biens",-0.0338633294930549
"23",2023-04-01,"Biens manufacturés",-0.0184121062181372
"24",2023-04-01,"Biens industriels",-0.0340430771669502
"25",2023-01-01,"Biens",-0.0467187918152426
"26",2023-01-01,"Biens manufacturés",-0.0297301402460635
"27",2023-01-01,"Biens industriels",-0.0468952747419661
"28",2022-10-01,"Biens",-0.0542961890837491
"29",2022-10-01,"Biens manufacturés",-0.0363150122328428
"30",2022-10-01,"Biens industriels",-0.0562475662887833
"31",2022-07-01,"Biens",-0.0702902466295557
"32",2022-07-01,"Biens manufacturés",-0.0370221243640424
"33",2022-07-01,"Biens industriels",-0.0733332634821513
"34",2022-04-01,"Biens",-0.063149251043228
"35",2022-04-01,"Biens manufacturés",-0.0351538055307107
"36",2022-04-01,"Biens industriels",-0.064791552829918
"37",2022-01-01,"Biens",-0.0486956253755952
"38",2022-01-01,"Biens manufacturés",-0.0283541612093009
"39",2022-01-01,"Biens industriels",-0.0494861087569533
"40",2021-10-01,"Biens",-0.0444262784249854
"41",2021-10-01,"Biens manufacturés",-0.0324222003953699
"42",2021-10-01,"Biens industriels",-0.0454364610660069
"43",2021-07-01,"Biens",-0.0318903853336556
"44",2021-07-01,"Biens manufacturés",-0.0242555876047921
"45",2021-07-01,"Biens industriels",-0.0320739971187074
"46",2021-04-01,"Biens",-0.0305728645170071
"47",2021-04-01,"Biens manufacturés",-0.0216440327017858
"48",2021-04-01,"Biens industriels",-0.0304157067078841
"49",2021-01-01,"Biens",-0.0288501613586082
"50",2021-01-01,"Biens manufacturés",-0.0215111863770174
"51",2021-01-01,"Biens industriels",-0.0289473554156034
"52",2020-10-01,"Biens",-0.020682000103177
"53",2020-10-01,"Biens manufacturés",-0.0162720145646013
"54",2020-10-01,"Biens industriels",-0.0206869925396358
