"","TIME_PERIOD","OBS_VALUE","TITLE_FR"
"1",2025-10-01,111.896284102651,"Construction"
"2",2025-07-01,112.311621852536,"Construction"
"3",2025-04-01,112.3618709359,"Construction"
"4",2025-01-01,112.716074786143,"Construction"
"5",2024-10-01,113.225051777431,"Construction"
"6",2024-07-01,113.684152453035,"Construction"
"7",2024-04-01,114.105379932276,"Construction"
"8",2024-01-01,114.714705983219,"Construction"
"9",2023-10-01,115.084491522517,"Construction"
"10",2023-07-01,115.218240566368,"Construction"
"11",2023-04-01,115.429152520133,"Construction"
"12",2023-01-01,115.599805564378,"Construction"
"13",2022-10-01,115.757560846869,"Construction"
"14",2022-07-01,115.625824748494,"Construction"
"15",2022-04-01,115.614045289782,"Construction"
"16",2022-01-01,115.507731947234,"Construction"
"17",2021-10-01,115.290855710577,"Construction"
"18",2021-07-01,114.912496514622,"Construction"
"19",2021-04-01,114.163457136935,"Construction"
"20",2021-01-01,113.20939553484,"Construction"
"21",2020-10-01,111.767902913403,"Construction"
"22",2020-07-01,110.488713340162,"Construction"
"23",2020-04-01,108.801119495899,"Construction"
"24",2020-01-01,107.654709770539,"Construction"
"25",2019-10-01,107.999818089372,"Construction"
"26",2019-07-01,107.036810062938,"Construction"
"27",2019-04-01,106.056281955509,"Construction"
"28",2019-01-01,105.112881509083,"Construction"
"29",2018-10-01,103.823254440781,"Construction"
"30",2018-07-01,103.203565448313,"Construction"
"31",2018-04-01,102.212674399359,"Construction"
"32",2018-01-01,101.605957722181,"Construction"
"33",2017-10-01,101.138283389919,"Construction"
"34",2017-07-01,100.747548306964,"Construction"
"35",2017-04-01,100.510840829691,"Construction"
"36",2017-01-01,100,"Construction"
"37",2025-10-01,103.294565218441,"Industries manufacturières, industries extractives et autres"
"38",2025-07-01,103.450487813596,"Industries manufacturières, industries extractives et autres"
"39",2025-04-01,103.587829793839,"Industries manufacturières, industries extractives et autres"
"40",2025-01-01,103.753670637508,"Industries manufacturières, industries extractives et autres"
"41",2024-10-01,103.820232389715,"Industries manufacturières, industries extractives et autres"
"42",2024-07-01,103.821391665515,"Industries manufacturières, industries extractives et autres"
"43",2024-04-01,103.756150199637,"Industries manufacturières, industries extractives et autres"
"44",2024-01-01,103.67194169358,"Industries manufacturières, industries extractives et autres"
"45",2023-10-01,103.426915872321,"Industries manufacturières, industries extractives et autres"
"46",2023-07-01,103.100869553457,"Industries manufacturières, industries extractives et autres"
"47",2023-04-01,102.785965163118,"Industries manufacturières, industries extractives et autres"
"48",2023-01-01,102.601575906642,"Industries manufacturières, industries extractives et autres"
"49",2022-10-01,102.416478203844,"Industries manufacturières, industries extractives et autres"
"50",2022-07-01,102.199436012323,"Industries manufacturières, industries extractives et autres"
"51",2022-04-01,101.84054354578,"Industries manufacturières, industries extractives et autres"
"52",2022-01-01,101.620184537386,"Industries manufacturières, industries extractives et autres"
"53",2021-10-01,101.558903930492,"Industries manufacturières, industries extractives et autres"
"54",2021-07-01,101.308564761816,"Industries manufacturières, industries extractives et autres"
"55",2021-04-01,100.97453232077,"Industries manufacturières, industries extractives et autres"
"56",2021-01-01,100.68194398959,"Industries manufacturières, industries extractives et autres"
