"","date","OBS_VALUE","Naf2"
"1",2025-11-01,97.0754716981132,"Industrie manufacturière, industries extractives et autres"
"2",2025-10-01,97.188679245283,"Industrie manufacturière, industries extractives et autres"
"3",2025-09-01,97,"Industrie manufacturière, industries extractives et autres"
"4",2025-08-01,96.122641509434,"Industrie manufacturière, industries extractives et autres"
"5",2025-07-01,97.1981132075472,"Industrie manufacturière, industries extractives et autres"
"6",2025-06-01,97.0094339622642,"Industrie manufacturière, industries extractives et autres"
"7",2025-05-01,93.8962264150943,"Industrie manufacturière, industries extractives et autres"
"8",2025-04-01,94.4905660377358,"Industrie manufacturière, industries extractives et autres"
"9",2025-03-01,95.7641509433962,"Industrie manufacturière, industries extractives et autres"
"10",2025-02-01,95.5,"Industrie manufacturière, industries extractives et autres"
"11",2025-01-01,94.5377358490566,"Industrie manufacturière, industries extractives et autres"
"12",2024-12-01,94.9811320754717,"Industrie manufacturière, industries extractives et autres"
"13",2024-11-01,95.1132075471698,"Industrie manufacturière, industries extractives et autres"
"14",2024-10-01,95.4622641509434,"Industrie manufacturière, industries extractives et autres"
"15",2024-09-01,95.6792452830189,"Industrie manufacturière, industries extractives et autres"
"16",2024-08-01,95.9528301886792,"Industrie manufacturière, industries extractives et autres"
"17",2024-07-01,95.4056603773585,"Industrie manufacturière, industries extractives et autres"
"18",2024-06-01,95.4150943396226,"Industrie manufacturière, industries extractives et autres"
"19",2024-05-01,95.0188679245283,"Industrie manufacturière, industries extractives et autres"
"20",2024-04-01,96.5094339622642,"Industrie manufacturière, industries extractives et autres"
"21",2024-03-01,95.6132075471698,"Industrie manufacturière, industries extractives et autres"
"22",2024-02-01,95.9716981132076,"Industrie manufacturière, industries extractives et autres"
"23",2024-01-01,95.7075471698113,"Industrie manufacturière, industries extractives et autres"
"24",2023-12-01,96.3207547169811,"Industrie manufacturière, industries extractives et autres"
"25",2023-11-01,95.9056603773585,"Industrie manufacturière, industries extractives et autres"
"26",2023-10-01,95.7830188679245,"Industrie manufacturière, industries extractives et autres"
"27",2023-09-01,95.8207547169811,"Industrie manufacturière, industries extractives et autres"
"28",2023-08-01,95.9622641509434,"Industrie manufacturière, industries extractives et autres"
"29",2023-07-01,95.7641509433962,"Industrie manufacturière, industries extractives et autres"
"30",2023-06-01,95.9150943396226,"Industrie manufacturière, industries extractives et autres"
"31",2023-05-01,97.1415094339623,"Industrie manufacturière, industries extractives et autres"
"32",2023-04-01,94.877358490566,"Industrie manufacturière, industries extractives et autres"
"33",2023-03-01,94.4622641509434,"Industrie manufacturière, industries extractives et autres"
"34",2023-02-01,95.8490566037736,"Industrie manufacturière, industries extractives et autres"
"35",2023-01-01,94.5188679245283,"Industrie manufacturière, industries extractives et autres"
"36",2022-12-01,95.8962264150943,"Industrie manufacturière, industries extractives et autres"
"37",2022-11-01,95.0660377358491,"Industrie manufacturière, industries extractives et autres"
"38",2022-10-01,93.9716981132076,"Industrie manufacturière, industries extractives et autres"
"39",2022-09-01,96.1509433962264,"Industrie manufacturière, industries extractives et autres"
"40",2022-08-01,96.311320754717,"Industrie manufacturière, industries extractives et autres"
"41",2022-07-01,93.9622641509434,"Industrie manufacturière, industries extractives et autres"
"42",2022-06-01,95.4150943396226,"Industrie manufacturière, industries extractives et autres"
"43",2022-05-01,94.6509433962264,"Industrie manufacturière, industries extractives et autres"
"44",2022-04-01,93.4811320754717,"Industrie manufacturière, industries extractives et autres"
"45",2022-03-01,94.2452830188679,"Industrie manufacturière, industries extractives et autres"
"46",2022-02-01,94.688679245283,"Industrie manufacturière, industries extractives et autres"
"47",2022-01-01,96.0849056603774,"Industrie manufacturière, industries extractives et autres"
"48",2021-12-01,94.0283018867924,"Industrie manufacturière, industries extractives et autres"
"49",2021-11-01,93.5943396226415,"Industrie manufacturière, industries extractives et autres"
"50",2021-10-01,95.5660377358491,"Industrie manufacturière, industries extractives et autres"
"51",2021-09-01,93.0754716981132,"Industrie manufacturière, industries extractives et autres"
"52",2021-08-01,94.3679245283019,"Industrie manufacturière, industries extractives et autres"
"53",2021-07-01,94.5943396226415,"Industrie manufacturière, industries extractives et autres"
"54",2021-06-01,93.877358490566,"Industrie manufacturière, industries extractives et autres"
"55",2021-05-01,94.3679245283019,"Industrie manufacturière, industries extractives et autres"
"56",2021-04-01,94.377358490566,"Industrie manufacturière, industries extractives et autres"
"57",2021-03-01,94.3962264150943,"Industrie manufacturière, industries extractives et autres"
"58",2021-02-01,92.8490566037736,"Industrie manufacturière, industries extractives et autres"
"59",2021-01-01,96.9905660377358,"Industrie manufacturière, industries extractives et autres"
"60",2020-12-01,93.9716981132076,"Industrie manufacturière, industries extractives et autres"
"61",2020-11-01,94.5754716981132,"Industrie manufacturière, industries extractives et autres"
"62",2020-10-01,96.0943396226415,"Industrie manufacturière, industries extractives et autres"
"63",2020-09-01,94.1603773584906,"Industrie manufacturière, industries extractives et autres"
"64",2020-08-01,92.4622641509434,"Industrie manufacturière, industries extractives et autres"
"65",2020-07-01,91.8490566037736,"Industrie manufacturière, industries extractives et autres"
"66",2020-06-01,NA,"Industrie manufacturière, industries extractives et autres"
"67",2020-05-01,NA,"Industrie manufacturière, industries extractives et autres"
"68",2020-04-01,NA,"Industrie manufacturière, industries extractives et autres"
"69",2020-03-01,NA,"Industrie manufacturière, industries extractives et autres"
"70",2020-02-01,100.981132075472,"Industrie manufacturière, industries extractives et autres"
