"","date","OBS_VALUE","Naf2"
"1",2025-05-01,94.13096810719,"Industrie manufacturière, industries extractives et autres"
"2",2025-04-01,94.5933194942442,"Industrie manufacturière, industries extractives et autres"
"3",2025-03-01,95.9520664276279,"Industrie manufacturière, industries extractives et autres"
"4",2025-02-01,95.6689941498396,"Industrie manufacturière, industries extractives et autres"
"5",2025-01-01,94.6688054349877,"Industrie manufacturière, industries extractives et autres"
"6",2024-12-01,95.0745423664842,"Industrie manufacturière, industries extractives et autres"
"7",2024-11-01,95.4142290998302,"Industrie manufacturière, industries extractives et autres"
"8",2024-10-01,95.4897150405737,"Industrie manufacturière, industries extractives et autres"
"9",2024-09-01,95.6973013776184,"Industrie manufacturière, industries extractives et autres"
"10",2024-08-01,95.933194942442,"Industrie manufacturière, industries extractives et autres"
"11",2024-07-01,95.6312511794678,"Industrie manufacturière, industries extractives et autres"
"12",2024-06-01,95.5368937535384,"Industrie manufacturière, industries extractives et autres"
"13",2024-05-01,94.9801849405548,"Industrie manufacturière, industries extractives et autres"
"14",2024-04-01,96.4049820720891,"Industrie manufacturière, industries extractives et autres"
"15",2024-03-01,95.5463294961313,"Industrie manufacturière, industries extractives et autres"
"16",2024-02-01,95.8765804868843,"Industrie manufacturière, industries extractives et autres"
"17",2024-01-01,95.7161728628043,"Industrie manufacturière, industries extractives et autres"
"18",2023-12-01,96.414417814682,"Industrie manufacturière, industries extractives et autres"
"19",2023-11-01,96.0181166257784,"Industrie manufacturière, industries extractives et autres"
"20",2023-10-01,95.7822230609549,"Industrie manufacturière, industries extractives et autres"
"21",2023-09-01,95.8294017739196,"Industrie manufacturière, industries extractives et autres"
"22",2023-08-01,95.9143234572561,"Industrie manufacturière, industries extractives et autres"
"23",2023-07-01,95.9520664276279,"Industrie manufacturière, industries extractives et autres"
"24",2023-06-01,96.0747310813361,"Industrie manufacturière, industries extractives et autres"
"25",2023-05-01,97.1409699943385,"Industrie manufacturière, industries extractives et autres"
"26",2023-04-01,94.7442913757313,"Industrie manufacturière, industries extractives et autres"
"27",2023-03-01,94.4046046423854,"Industrie manufacturière, industries extractives et autres"
"28",2023-02-01,95.7539158331761,"Industrie manufacturière, industries extractives et autres"
"29",2023-01-01,94.4989620683148,"Industrie manufacturière, industries extractives et autres"
"30",2022-12-01,95.9992451405926,"Industrie manufacturière, industries extractives et autres"
"31",2022-11-01,95.1311568220419,"Industrie manufacturière, industries extractives et autres"
