"","date","OBS_VALUE","Forme-Vente"
"1",2021-10-01,100,"Grande distribution"
"2",2021-10-01,100,"Grande distribution étendue"
"3",2021-10-01,100,"Hors grande distribution"
"4",2021-10-01,100,"Toutes formes de vente"
"5",2021-11-01,100.369613850793,"Grande distribution"
"6",2021-11-01,100.340036918294,"Grande distribution étendue"
"7",2021-11-01,100.202038754707,"Hors grande distribution"
"8",2021-11-01,100.326045262754,"Toutes formes de vente"
"9",2021-12-01,100.710047660733,"Grande distribution"
"10",2021-12-01,100.641212474497,"Grande distribution étendue"
"11",2021-12-01,100.284690972541,"Hors grande distribution"
"12",2021-12-01,100.556194859992,"Toutes formes de vente"
"13",2022-01-01,100.651687579029,"Grande distribution"
"14",2022-01-01,100.621781793452,"Grande distribution étendue"
"15",2022-01-01,100.587749104601,"Hors grande distribution"
"16",2022-01-01,100.632911392405,"Toutes formes de vente"
"17",2022-02-01,101.060208150958,"Grande distribution"
"18",2022-02-01,101.039541435927,"Grande distribution étendue"
"19",2022-02-01,101.230599687758,"Hors grande distribution"
"20",2022-02-01,101.160337552743,"Toutes formes de vente"
"21",2022-03-01,101.770255811691,"Grande distribution"
"22",2022-03-01,101.748761294083,"Grande distribution étendue"
"23",2022-03-01,101.901001010194,"Hors grande distribution"
"24",2022-03-01,101.92750287687,"Toutes formes de vente"
"25",2022-04-01,103.112537690886,"Grande distribution"
"26",2022-04-01,103.040901583601,"Grande distribution étendue"
"27",2022-04-01,102.782624667095,"Hors grande distribution"
"28",2022-04-01,103.097429996164,"Toutes formes de vente"
"29",2022-05-01,104.270012644684,"Grande distribution"
"30",2022-05-01,104.235888467891,"Grande distribution étendue"
"31",2022-05-01,104.141794471485,"Hors grande distribution"
"32",2022-05-01,104.344073647871,"Toutes formes de vente"
"33",2022-06-01,105.281587394222,"Grande distribution"
"34",2022-06-01,105.324006606432,"Grande distribution étendue"
"35",2022-06-01,105.197906143815,"Hors grande distribution"
"36",2022-06-01,105.283851169927,"Toutes formes de vente"
"37",2022-07-01,106.818402879097,"Grande distribution"
"38",2022-07-01,106.80073836588,"Grande distribution étendue"
"39",2022-07-01,106.198916337588,"Hors grande distribution"
"40",2022-07-01,106.56885308784,"Toutes formes de vente"
"41",2022-08-01,108.637292092209,"Grande distribution"
"42",2022-08-01,108.578645681531,"Grande distribution étendue"
"43",2022-08-01,108.008081550188,"Hors grande distribution"
"44",2022-08-01,108.400460299194,"Toutes formes de vente"
"45",2022-09-01,108.919365820445,"Grande distribution"
"46",2022-09-01,108.93811328087,"Grande distribution étendue"
"47",2022-09-01,109.174396179631,"Hors grande distribution"
"48",2022-09-01,108.995013425393,"Toutes formes de vente"
"49",2022-10-01,110.611808189865,"Grande distribution"
"50",2022-10-01,110.589721169727,"Grande distribution étendue"
"51",2022-10-01,110.643768941133,"Hors grande distribution"
"52",2022-10-01,110.577291906406,"Toutes formes de vente"
"53",2022-11-01,112.158350355024,"Grande distribution"
"54",2022-11-01,112.04702224813,"Grande distribution étendue"
"55",2022-11-01,111.791716411057,"Hors grande distribution"
"56",2022-11-01,111.92942079018,"Toutes formes de vente"
"57",2022-12-01,113.024024900302,"Grande distribution"
"58",2022-12-01,112.882541533081,"Grande distribution étendue"
"59",2022-12-01,112.581504270365,"Hors grande distribution"
"60",2022-12-01,112.744533947066,"Toutes formes de vente"
"61",2023-01-01,114.23013325552,"Grande distribution"
"62",2023-01-01,114.164966482075,"Grande distribution étendue"
"63",2023-01-01,114.565157498393,"Hors grande distribution"
"64",2023-01-01,114.192558496356,"Toutes formes de vente"
"65",2023-02-01,115.397334889602,"Grande distribution"
"66",2023-02-01,115.408530068979,"Grande distribution étendue"
"67",2023-02-01,116.603912204978,"Hors grande distribution"
"68",2023-02-01,115.669351745301,"Toutes formes de vente"
