"","date","OBS_VALUE","Coicop2016"
"1",2021-07-01,100,"Nomenclature Coicop : Ensemble harmonisé"
"2",2021-07-01,100,"Produits alimentaires et boissons non alcoolisées"
"3",2021-07-01,100,"Électricité, gaz et autres combustibles"
"4",2021-08-01,100.687476774433,"Nomenclature Coicop : Ensemble harmonisé"
"5",2021-08-01,100.706551660855,"Produits alimentaires et boissons non alcoolisées"
"6",2021-08-01,101.17469374056,"Électricité, gaz et autres combustibles"
"7",2021-09-01,100.48309178744,"Nomenclature Coicop : Ensemble harmonisé"
"8",2021-09-01,99.8898880528537,"Produits alimentaires et boissons non alcoolisées"
"9",2021-09-01,102.936734351401,"Électricité, gaz et autres combustibles"
"10",2021-10-01,100.929022668153,"Nomenclature Coicop : Ensemble harmonisé"
"11",2021-10-01,99.6971921453478,"Produits alimentaires et boissons non alcoolisées"
"12",2021-10-01,107.727806678973,"Électricité, gaz et autres combustibles"
"13",2021-11-01,101.347082868822,"Nomenclature Coicop : Ensemble harmonisé"
"14",2021-11-01,100.100935951551,"Produits alimentaires et boissons non alcoolisées"
"15",2021-11-01,110.010068803491,"Électricité, gaz et autres combustibles"
"16",2021-12-01,101.57933853586,"Nomenclature Coicop : Ensemble harmonisé"
"17",2021-12-01,100.69737566526,"Produits alimentaires et boissons non alcoolisées"
"18",2021-12-01,110.37925826481,"Électricité, gaz et autres combustibles"
"19",2022-01-01,101.737272389446,"Nomenclature Coicop : Ensemble harmonisé"
"20",2022-01-01,101.31216737016,"Produits alimentaires et boissons non alcoolisées"
"21",2022-01-01,112.040610840745,"Électricité, gaz et autres combustibles"
"22",2022-02-01,102.647714604236,"Nomenclature Coicop : Ensemble harmonisé"
"23",2022-02-01,101.688383189576,"Produits alimentaires et boissons non alcoolisées"
"24",2022-02-01,115.027689209599,"Électricité, gaz et autres combustibles"
"25",2022-03-01,104.292084726867,"Nomenclature Coicop : Ensemble harmonisé"
"26",2022-03-01,102.651862727106,"Produits alimentaires et boissons non alcoolisées"
"27",2022-03-01,120.884376573251,"Électricité, gaz et autres combustibles"
"28",2022-04-01,104.775176514307,"Nomenclature Coicop : Ensemble harmonisé"
"29",2022-04-01,104.248485960727,"Produits alimentaires et boissons non alcoolisées"
"30",2022-04-01,122.587682497063,"Électricité, gaz et autres combustibles"
"31",2022-05-01,105.564845782237,"Nomenclature Coicop : Ensemble harmonisé"
"32",2022-05-01,105.294549458616,"Produits alimentaires et boissons non alcoolisées"
"33",2022-05-01,123.611344185266,"Électricité, gaz et autres combustibles"
"34",2022-06-01,106.465997770346,"Nomenclature Coicop : Ensemble harmonisé"
"35",2022-06-01,106.166269040191,"Produits alimentaires et boissons non alcoolisées"
"36",2022-06-01,125.725792918275,"Électricité, gaz et autres combustibles"
"37",2022-07-01,106.781865477518,"Nomenclature Coicop : Ensemble harmonisé"
"38",2022-07-01,107.249036520462,"Produits alimentaires et boissons non alcoolisées"
"39",2022-07-01,126.497734519215,"Électricité, gaz et autres combustibles"
"40",2022-08-01,107.292827945002,"Nomenclature Coicop : Ensemble harmonisé"
"41",2022-08-01,109.13929161314,"Produits alimentaires et boissons non alcoolisées"
"42",2022-08-01,125.264306091626,"Électricité, gaz et autres combustibles"
"43",2022-09-01,106.744704570792,"Nomenclature Coicop : Ensemble harmonisé"
"44",2022-09-01,110.488162965682,"Produits alimentaires et boissons non alcoolisées"
"45",2022-09-01,128.15908709515,"Électricité, gaz et autres combustibles"
"46",2022-10-01,108.063916759569,"Nomenclature Coicop : Ensemble harmonisé"
"47",2022-10-01,112.525233987888,"Produits alimentaires et boissons non alcoolisées"
"48",2022-10-01,134.972310790401,"Électricité, gaz et autres combustibles"
"49",2022-11-01,108.519137866964,"Nomenclature Coicop : Ensemble harmonisé"
"50",2022-11-01,113.09414571481,"Produits alimentaires et boissons non alcoolisées"
"51",2022-11-01,135.702299043464,"Électricité, gaz et autres combustibles"
"52",2022-12-01,108.416945373467,"Nomenclature Coicop : Ensemble harmonisé"
"53",2022-12-01,113.644705450541,"Produits alimentaires et boissons non alcoolisées"
"54",2022-12-01,130.886054707166,"Électricité, gaz et autres combustibles"
"55",2023-01-01,108.900037160907,"Nomenclature Coicop : Ensemble harmonisé"
"56",2023-01-01,115.645072490365,"Produits alimentaires et boissons non alcoolisées"
