"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"1",2026-01-01,609626,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"2",2025-12-01,631145,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"3",2025-12-01,610159,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"4",2025-11-01,633465,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"5",2025-11-01,610751,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"6",2025-10-01,633866,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"7",2025-10-01,612694,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"8",2025-09-01,634586,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"9",2025-09-01,614694,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"10",2025-08-01,635404,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"11",2025-08-01,616591,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"12",2025-07-01,634603,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"13",2025-07-01,618039,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"14",2025-06-01,634837,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"15",2025-06-01,618408,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"16",2025-05-01,636372,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"17",2025-05-01,616957,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"18",2025-04-01,636254,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"19",2025-04-01,619608,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"20",2025-03-01,635957,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"21",2025-03-01,621293,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"22",2025-02-01,635108,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"23",2025-02-01,622398,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"24",2025-01-01,633841,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"25",2025-01-01,625723,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"26",2024-12-01,627513,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"27",2024-12-01,626776,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"28",2024-11-01,628678,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"29",2024-11-01,627905,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"30",2024-10-01,630389,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"31",2024-10-01,630598,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"32",2024-09-01,628640,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"33",2024-09-01,631139,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"34",2024-08-01,628199,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"35",2024-08-01,631137,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"36",2024-07-01,628525,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"37",2024-07-01,632689,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"38",2024-06-01,626596,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
