"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"1",2026-02-01,641863,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"2",2026-02-01,642402,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"3",2026-01-01,646524,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"4",2026-01-01,643420,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"5",2025-12-01,647826,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"6",2025-12-01,643941,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"7",2025-11-01,649401,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"8",2025-11-01,644474,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"9",2025-10-01,649692,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"10",2025-10-01,646534,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"11",2025-09-01,650437,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"12",2025-09-01,648514,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"13",2025-08-01,651286,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"14",2025-08-01,650217,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"15",2025-07-01,650443,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"16",2025-07-01,651606,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"17",2025-06-01,650669,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"18",2025-06-01,651989,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"19",2025-05-01,652289,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"20",2025-05-01,650514,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"21",2025-04-01,652110,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"22",2025-04-01,653175,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"23",2025-03-01,651666,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"24",2025-03-01,654764,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"25",2025-02-01,650643,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"26",2025-02-01,655904,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"27",2025-01-01,649464,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"28",2025-01-01,659422,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"29",2024-12-01,643168,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"30",2024-12-01,660787,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"31",2024-11-01,644350,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"32",2024-11-01,662216,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"33",2024-10-01,646023,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"34",2024-10-01,665170,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"35",2024-09-01,644225,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"36",2024-09-01,666002,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"37",2024-08-01,643902,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"38",2024-08-01,666308,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"39",2024-07-01,644251,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"40",2024-07-01,668353,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"41",2024-06-01,642251,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"42",2024-06-01,669955,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"43",2024-05-01,640603,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"44",2024-05-01,674404,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"45",2024-04-01,640967,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"46",2024-04-01,675117,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"47",2024-03-01,641816,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"48",2024-03-01,675659,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"49",2024-02-01,642746,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"50",2024-02-01,677326,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"51",2024-01-01,639873,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"52",2024-01-01,677189,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
"53",2023-12-01,639269,"Démographie - Nombre de décès par mois - France (inclus Mayotte à partir de 2014)","Décès"
"54",2023-12-01,677803,"Démographie - Nombre de naissances vivantes par mois - France (inclus Mayotte à partir de 2014)","Naissances"
