"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"1",2025-06-01,649600,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"2",2025-06-01,651786,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"3",2025-05-01,651900,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"4",2025-05-01,650379,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"5",2025-04-01,652000,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"6",2025-04-01,653118,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"7",2025-03-01,651700,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"8",2025-03-01,654719,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"9",2025-02-01,650700,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"10",2025-02-01,655868,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"11",2025-01-01,649500,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"12",2025-01-01,659372,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"13",2024-12-01,643300,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"14",2024-12-01,660787,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"15",2024-11-01,644520,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"16",2024-11-01,662216,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"17",2024-10-01,646154,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"18",2024-10-01,665170,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"19",2024-09-01,644333,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"20",2024-09-01,666002,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"21",2024-08-01,643999,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"22",2024-08-01,666308,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"23",2024-07-01,644345,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"24",2024-07-01,668353,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"25",2024-06-01,642295,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"26",2024-06-01,669955,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"27",2024-05-01,640678,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"28",2024-05-01,674404,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
"29",2024-04-01,640992,"Démographie - Nombre de décès - France (inclus Mayotte à partir de 2014)","Décès"
"30",2024-04-01,675117,"Démographie - Nombre de naissances vivantes - France (inclus Mayotte à partir de 2014)","Naissances"
