"","date","Metier","Indice","Valeur"
"1",1996-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100
"2",1996-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",100
"3",1996-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100
"4",1996-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100
"5",1996-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100
"6",1996-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",100
"7",1997-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100.291655772212
"8",1997-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",100.453474043455
"9",1997-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.9304722181897
"10",1997-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.091707728107
"11",1997-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100.707543054395
"12",1997-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",100.870032350166
"13",1998-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100.753251329291
"14",1998-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",100.931116550907
"15",1998-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100.017523462286
"16",1998-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.194089863284
"17",1998-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",101.182782405146
"18",1998-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",101.361405901448
"19",1999-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",103.193268990549
"20",1999-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",103.387836350216
"21",1999-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100.522044691023
"22",1999-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.711575549143
"23",1999-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",102.20291995646
"24",1999-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",102.395620047084
"25",2000-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",104.810335315608
"26",2000-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",105.182499390103
"27",2000-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100.351392869261
"28",2000-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.707723980492
"29",2000-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",102.262036856785
"30",2000-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",102.625152347143
"31",2001-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",105.584875006846
"32",2001-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",106.129996757886
"33",2001-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.5894714876836
